"","lonlat","Freq","lon","lat"
"100","-111.9260519 33.4941704",4,"-111.9260519","33.4941704"
"101","-111.929658 40.5621704",1,"-111.929658","40.5621704"
"102","-111.9400054 33.4255104",4,"-111.9400054","33.4255104"
"103","-111.9474866 40.6756445",1,"-111.9474866","40.6756445"
"104","-111.9710529 41.0602216",1,"-111.9710529","41.0602216"
"105","-111.9738304 41.223",1,"-111.9738304","41.223"
"106","-111.9839965 33.3426673",1,"-111.9839965","33.3426673"
"107","-112.006882 40.3141169",1,"-112.006882","40.3141169"
"108","-112.0740373 33.4483771",6,"-112.0740373","33.4483771"
"109","-112.1251372 33.8543346",1,"-112.1251372","33.8543346"
"110","-112.1691424 36.0581214",1,"-112.1691424","36.0581214"
"111","-112.2373779 33.5805955",1,"-112.2373779","33.5805955"
"112","-112.315721 34.6100243",1,"-112.315721","34.6100243"
"113","-112.3679279 33.6292337",1,"-112.3679279","33.6292337"
"114","-113.4909267 53.544389",3,"-113.4909267","53.544389"
"115","-114.0530065 35.189443",1,"-114.0530065","35.189443"
"116","-114.0708459 51.0486151",1,"-114.0708459","51.0486151"
"117","-114.7420408 44.0682019",4,"-114.7420408","44.0682019"
"118","-115.1398296 36.1699412",7,"-115.1398296","36.1699412"
"119","-115.4733551 35.0109911",1,"-115.4733551","35.0109911"
"120","-116.173894 33.6803003",1,"-116.173894","33.6803003"
"121","-116.2146068 43.6187102",1,"-116.2146068","43.6187102"
"122","-116.419389 34.9592083",5,"-116.419389","34.9592083"
"123","-116.8161091 33.9289965",1,"-116.8161091","33.9289965"
"124","-116.9535077 33.5284559",1,"-116.9535077","33.5284559"
"125","-117.0499859 32.8085507",1,"-117.0499859","32.8085507"
"126","-117.1483648 33.4936391",1,"-117.1483648","33.4936391"
"127","-117.1610838 32.715738",11,"-117.1610838","32.715738"
"128","-117.163812 47.6366613",1,"-117.163812","47.6366613"
"129","-117.1661449 33.1433723",1,"-117.1661449","33.1433723"
"130","-117.1817377 46.7297771",1,"-117.1817377","46.7297771"
"131","-117.1934732 32.7596781",1,"-117.1934732","32.7596781"
"132","-117.2286478 33.7825194",1,"-117.2286478","33.7825194"
"133","-117.2552565 32.8533936",1,"-117.2552565","32.8533936"
"134","-117.2941632 34.1284221",1,"-117.2941632","34.1284221"
"135","-117.3511085 33.1625076",1,"-117.3511085","33.1625076"
"136","-117.3961564 33.9533487",1,"-117.3961564","33.9533487"
"137","-117.5664384 33.8752935",1,"-117.5664384","33.8752935"
"138","-117.5931084 34.1063989",1,"-117.5931084","34.1063989"
"139","-117.6119925 33.4269728",1,"-117.6119925","33.4269728"
"140","-117.6508876 34.0633443",2,"-117.6508876","34.0633443"
"141","-117.688944 34.0122346",2,"-117.688944","34.0122346"
"142","-117.7068412 33.4695832",1,"-117.7068412","33.4695832"
"143","-117.7901088 33.7635422",1,"-117.7901088","33.7635422"
"144","-117.7946942 33.6839473",1,"-117.7946942","33.6839473"
"145","-117.8131125 33.8886259",1,"-117.8131125","33.8886259"
"146","-117.8311428 33.7174708",1,"-117.8311428","33.7174708"
"147","-117.8376937 33.8246585",1,"-117.8376937","33.8246585"
"148","-117.8531119 33.7877944",1,"-117.8531119","33.7877944"
"149","-117.8678338 33.7455731",1,"-117.8678338","33.7455731"
"150","-117.9186689 33.6411316",1,"-117.9186689","33.6411316"
"151","-117.9189742 33.8120918",3,"-117.9189742","33.8120918"
"152","-117.9289469 33.6189101",1,"-117.9289469","33.6189101"
"153","-117.9389526 34.0686208",1,"-117.9389526","34.0686208"
"154","-117.9847692 34.0340037",1,"-117.9847692","34.0340037"
"155","-117.9965082 34.1344278",1,"-117.9965082","34.1344278"
"156","-117.9992265 33.660297",2,"-117.9992265","33.660297"
"157","-118.0152341 33.9055049",1,"-118.0152341","33.9055049"
"158","-118.0275667 34.0686206",1,"-118.0275667","34.0686206"
"159","-118.032844 33.9791793",1,"-118.032844","33.9791793"
"160","-118.0683713 33.9807058",1,"-118.0683713","33.9807058"
"161","-118.1228476 34.0625106",1,"-118.1228476","34.0625106"
"162","-118.1669736 34.0224417",1,"-118.1669736","34.0224417"
"163","-118.1874853 33.9800233",1,"-118.1874853","33.9800233"
"164","-118.2114603 33.930293",1,"-118.2114603","33.930293"
"165","-118.2436596 34.0522265",1,"-118.2436596","34.0522265"
"166","-118.2436849 34.0522342",51,"-118.2436849","34.0522342"
"167","-118.2772773 34.0255823",1,"-118.2772773","34.0255823"
"168","-118.2923259 34.0531113",1,"-118.2923259","34.0531113"
"169","-118.3173209 34.0954806",1,"-118.3173209","34.0954806"
"170","-118.3286614 34.0928092",1,"-118.3286614","34.0928092"
"171","-118.3406288 33.8358492",1,"-118.3406288","33.8358492"
"172","-118.3437757 34.0745721",1,"-118.3437757","34.0745721"
"173","-118.3617443 34.0900091",1,"-118.3617443","34.0900091"
"174","-118.372443 34.0653826",1,"-118.372443","34.0653826"
"175","-118.390279 34.067432",1,"-118.390279","34.067432"
"176","-118.3995194 33.8622366",1,"-118.3995194","33.8622366"
"177","-118.4019409 34.0069062",1,"-118.4019409","34.0069062"
"178","-118.40853 33.9415889",1,"-118.40853","33.9415889"
"179","-118.4389719 34.2819461",1,"-118.4389719","34.2819461"
"180","-118.4750435 33.9975493",1,"-118.4750435","33.9975493"
"181","-118.5214282 34.1517492",1,"-118.5214282","34.1517492"
"182","-118.5357514 34.043951",1,"-118.5357514","34.043951"
"183","-118.6523096 34.1602832",1,"-118.6523096","34.1602832"
"184","-118.6614809 34.1367208",2,"-118.6614809","34.1367208"
"185","-118.7986152 55.1699396",1,"-118.7986152","55.1699396"
"186","-119.0592705 34.3541659",1,"-119.0592705","34.3541659"
"187","-119.1216176 35.3900079",1,"-119.1216176","35.3900079"
"188","-119.1770516 34.1975048",1,"-119.1770516","34.1975048"
"189","-119.2290316 34.274646",1,"-119.2290316","34.274646"
"190","-119.2920585 36.3302284",1,"-119.2920585","36.3302284"
"191","-119.2948008 34.2805878",1,"-119.2948008","34.2805878"
"192","-119.4179324 36.778261",34,"-119.4179324","36.778261"
"193","-119.5540175 36.5138398",1,"-119.5540175","36.5138398"
"194","-119.5644584 49.863612",1,"-119.5644584","49.863612"
"195","-119.7725868 36.7468422",2,"-119.7725868","36.7468422"
"196","-119.8138027 39.5296329",2,"-119.8138027","39.5296329"
"197","-119.8595833 36.431061",1,"-119.8595833","36.431061"
"198","-120.059879 36.7235572",1,"-120.059879","36.7235572"
"199","-120.3086667 46.3773509",1,"-120.3086667","46.3773509"
"200","-120.3453928 45.8740808",1,"-120.3453928","45.8740808"
"201","-120.3601496 36.139678",1,"-120.3601496","36.139678"
"202","-120.5440391 38.4377698",1,"-120.5440391","38.4377698"
"203","-120.5542012 43.8041334",2,"-120.5542012","43.8041334"
"204","-120.5718719 38.4318551",1,"-120.5718719","38.4318551"
"205","-120.609084 37.3477174",2,"-120.609084","37.3477174"
"206","-120.6596156 35.2827524",1,"-120.6596156","35.2827524"
"207","-120.7401386 47.7510741",5,"-120.7401386","47.7510741"
"208","-120.8958242 38.8375215",1,"-120.8958242","38.8375215"
