"","lon","lat"
"198",-117.9189742,33.8120918
"199",NA,NA
"200",-82.5514869,35.5950581
"201",-93.8349022,32.6926454
"202",-74.0059413,40.7127837
"203",-81.5157535,27.6648274
"204",55.2707828,25.2048493
"205",-116.173894,33.6803003
"206",NA,NA
"207",74.837876,32.72951
"208",NA,NA
"209",-87.6947699,41.5936453
"210",-112.0740373,33.4483771
"211",-71.0588801,42.3600825
"212",-106.6630437,35.2327544
"213",-71.4161671,41.7001009
"214",-122.2170661,47.4828776
"215",NA,NA
"216",-90.441448,37.135176
"217",-71.0588801,42.3600825
"218",-47.2089525,-23.0886496
"219",-87.2169149,30.421309
"220",-83.8240663,34.2978794
"221",-71.5642076,41.6885978
"222",NA,NA
"223",NA,NA
"224",93.712433,27.966
"225",-79.1725738,33.9047138
"226",-83.9811014,34.1140497
"227",NA,NA
"228",-85.7584557,38.2526647
"229",NA,NA
"230",-76.7496909,38.8159473
"231",NA,NA
"232",NA,NA
"233",-105.084423,40.5852602
"234",-71.1626756,42.2797554
"235",-119.4179324,36.778261
"236",-119.4179324,36.778261
"237",-76.4730122,37.0870821
"238",NA,NA
"239",NA,NA
"240",-87.6297982,41.8781136
"241",-87.6297982,41.8781136
"242",-86.5804473,35.5174913
"243",-91.8318334,35.20105
"244",-85.6023643,44.3148443
"245",NA,NA
"246",-81.6943605,41.49932
"247",-56.921099,-12.6818712
"248",-106.346771,56.130366
"249",77.0330481,26.7454967
"250",-75.1652215,39.9525839
"251",-81.6943605,41.49932
"252",-80.4274363,37.165623
"253",-87.5269704,37.9663316
"254",NA,NA
"255",-79.9310512,32.7764749
"256",-111.0937311,34.0489281
"257",-111.9400054,33.4255104
"258",62.4504154,36.9481623
"259",-79.3831843,43.653226
"260",-86.2519898,41.6763545
"261",-104.7091322,40.4233142
"262",-72.5215009,41.7759301
"263",NA,NA
"264",-71.542969,-35.675147
"265",55.2707828,25.2048493
"266",NA,NA
"267",-77.355413,25.0479835
"268",NA,NA
"269",NA,NA
"270",NA,NA
"271",-80.365865,26.190096
"272",-71.4774291,41.5800945
"273",NA,NA
"274",-122.6764816,45.5230622
"275",-71.3824374,42.4072107
"276",-88.1182923,41.501761
"277",19.145136,51.919438
"278",-77.6128039,43.0592452
"279",NA,NA
"280",NA,NA
"281",-105.7820674,39.5500507
"282",-74.0059413,40.7127837
"283",NA,NA
"284",NA,NA
"285",NA,NA
"286",45.038189,40.069099
"287",-3.74922,40.463667
"288",-44.5550308,-18.512178
"289",-89.3985283,40.6331249
"290",NA,NA
"291",-119.4179324,36.778261
"292",-78.8289727,42.7167654
"293",-95.3698028,29.7604267
"294",-74.0059413,40.7127837
"295",-79.3789193,43.6512115
"296",-83.6468362,31.4718497
"297",-66.590149,18.220833
"298",NA,NA
"299",-87.6297982,41.8781136
"300",-71.3328331,42.0042655
"301",-89.4311847,30.4692015
"302",-134.515181,58.3365651
"303",-78.6568942,37.4315734
"304",-74.4056612,40.0583238
"305",7.0115552,51.4556432
"306",NA,NA
"307",NA,NA
"308",-77.5063739,37.665978
"309",-86.6199957,36.3047735
"310",-89.514593,43.0558895
"311",-119.4179324,36.778261
"312",-80.579511,35.4087517
"313",NA,NA
"314",NA,NA
"315",-75.1662121,39.9093147
"316",-79.2822491,35.2562684
"317",-71.0588801,42.3600825
"318",-118.40853,33.9415889
"319",NA,NA
"320",-96.3344068,30.627977
"321",-118.2436849,34.0522342
"322",-90.0489801,35.1495343
"323",-97.2464071,19.5572354
"324",NA,NA
"325",-97.4091792,31.4440557
"326",-63.616672,-38.416097
"327",-75.5812119,6.244203
"328",NA,NA
"329",77.8252923,12.7409127
"330",-79.1368259,35.0305707
"331",-106.4850217,31.7618778
"332",-92.919667,41.400595
"333",151.2144149,-33.8754399
"334",NA,NA
"335",-81.6601279,38.6764777
"336",-95.3698028,29.7604267
"337",-82.445154,38.4192496
"338",NA,NA
"339",-71.9086843,42.245926
"340",NA,NA
"341",-90.0179436,35.1523208
"342",-79.2468626,43.1593745
"343",-76.6412712,39.0457549
"344",NA,NA
"345",-95.3698028,29.7604267
"346",NA,NA
"347",-95.1765978,29.9988306
"348",-71.4774291,41.5800945
"349",-79.9958864,40.4406248
"350",-119.4179324,36.778261
"351",-79.3831843,43.653226
"352",-111.9260519,33.4941704
"353",NA,NA
"354",NA,NA
"355",-80.1281373,25.855498
"356",-8.4403573,40.2048286
"357",-51.92528,-14.235004
"358",-106.346771,56.130366
"359",-74.0059413,40.7127837
"360",-102.3676431,31.8456816
"361",-78.5084937,45.0467132
"362",2.3522219,48.856614
"363",-70.9915997,42.4136428
"364",NA,NA
"365",-44.9331458,-21.9779646
"366",-116.419389,34.9592083
"367",-119.4179324,36.778261
"368",NA,NA
"369",-81.339552,41.6661573
"370",13.404954,52.5200066
"371",-1.1743197,52.3555177
"372",-51.2176584,-30.0346471
"373",-95.712891,37.09024
"374",-43.1728965,-22.9068467
"375",-95.3311652,29.6588431
"376",-157.8583333,21.3069444
"377",-66.590149,18.220833
"378",-75.5993692,38.3606736
"379",-76.2710833,-12.2720956
"380",-122.2913078,37.8271784
"381",-120.5542012,43.8041334
"382",-123.1207375,49.2827291
"383",-119.4179324,36.778261
"384",-86.2288322,30.3960324
"385",-83.9207392,35.9606384
"386",-118.2436849,34.0522342
"387",-110.3625658,46.8796822
"388",-94.6858998,46.729553
"389",-95.712891,37.09024
"390",-95.3698028,29.7604267
"391",-80.1917902,25.7616798
"392",-89.761545,35.1598391
"393",21.005859,44.016521
"394",-80.1917902,25.7616798
"395",-8.224454,39.399872
"396",-106.346771,56.130366
"397",-2.7021047,53.6823877
"398",-119.4179324,36.778261
"399",NA,NA
"400",0.6673665,51.7659078
"401",53.688046,32.427908
"402",NA,NA
"403",NA,NA
"404",-96.9101806,19.5437751
"405",80.3318736,26.449923
"406",-101.5329438,39.7508287
"407",-80.1373174,26.1224386
"408",-37.681228,-9.2766863
"409",-40.4425922,-16.519664
"410",-0.0076589,51.4825766
"411",-84.5691487,42.842256
"412",NA,NA
"413",-120.3453928,45.8740808
"414",-101.7101722,39.350833
"415",-118.3995194,33.8622366
"416",-122.6764816,45.5230622
"417",-105.7820674,39.5500507
"418",-123.0867536,44.0520691
"419",-84.3879824,33.7489954
"420",-88.0622083,44.5013406
"421",-1.759398,53.795984
"422",27.255854,-25.6544483
"423",-118.2436849,34.0522342
"424",-74.0176381,40.2903891
"425",-74.0059413,40.7127837
"426",25.3929576,42.6194408
"427",NA,NA
"428",-88.7878678,43.7844397
"429",-117.9289469,33.6189101
"430",-71.0588801,42.3600825
"431",-96.8236116,33.1506744
"432",-95.712891,37.09024
"433",-80.0181728,32.7993864
"434",-82.3248262,29.6516344
"435",-111.9260519,33.4941704
"436",-95.712891,37.09024
"437",-82.3248262,29.6516344
"438",-84.3879824,33.7489954
"439",-122.2913078,37.8271784
"440",-97.5164276,35.4675602
"441",-100.3161126,25.6866142
"442",NA,NA
"443",-3.1495175,56.2082078
"444",-111.6585337,40.2338438
"445",21.30299,46.194054
"446",-83.9811014,34.1140497
"447",-118.2436849,34.0522342
"448",21.824312,39.074208
"449",NA,NA
"450",-107.9763233,36.7374496
"451",7.6868565,45.070312
"452",-74.4056612,40.0583238
"453",2.213749,46.227638
"454",-90.1994042,38.6270025
"455",-122.2913078,37.8271784
"456",-82.3940104,34.8526176
"457",60.3414529,41.3895075
"458",-79.7618035,34.0649253
"459",-86.158068,39.768403
"460",-92.0116863,37.408455
"461",-82.7873244,27.9094665
"462",9.385729,45.9382941
"463",-80.8431267,35.2270869
"464",-71.2478251,42.0653812
"465",-83.3364386,42.4868455
"466",-95.712891,37.09024
"467",-35.882916,-7.219842
"468",-97.3208492,32.5420821
"469",-88.2774813,42.0978361
"470",-73.9746494,40.7609595
"471",-79.532157,43.8169837
"472",-86.5804473,35.5174913
"473",-90.0489801,35.1495343
"474",-79.9958864,40.4406248
"475",-86.80249,33.5206608
"476",-158.2206477,21.4634328
"477",-120.3086667,46.3773509
"478",-75.1652215,39.9525839
"479",-110.9559192,29.0729673
"480",NA,NA
"481",NA,NA
"482",9.1859243,45.4654219
"483",8.468946,60.472024
"484",-109.7124043,23.0798696
"485",-87.6297982,41.8781136
"486",-122.4194155,37.7749295
"487",-96.8042882,32.8083577
"488",-81.6816219,30.3895428
"489",-87.6297982,41.8781136
"490",NA,NA
"491",-70.8800187,42.0751892
"492",-84.5613355,39.3995008
"493",-122.2711137,37.8043637
"494",-93.2650108,44.977753
"495",-7.5898434,33.5731104
"496",NA,NA
"497",-84.5120196,39.1031182
"498",NA,NA
"499",-76.5660529,42.9317335
"500",-85.6023643,44.3148443
"501",-97.7430608,30.267153
"502",NA,NA
"503",NA,NA
"504",-88.1227199,42.0629915
"505",-71.566139,42.391736
"506",-79.532157,43.8169837
"507",-94.6858998,46.729553
"508",-3.74922,40.463667
"509",22.937506,-30.559482
"510",-118.5357514,34.043951
"511",NA,NA
"512",-79.532157,43.8169837
"513",3.0611177,50.6241808
"514",-84.3640829,33.7589188
"515",-80.1917902,25.7616798
"516",-87.9196785,43.0405846
"517",153.0120454,-27.4804984
"518",-119.4179324,36.778261
"519",-86.5804473,35.5174913
"520",9.1248162,52.8453301
"521",-1.4675216,52.2671353
"522",-95.5171646,29.759951
"523",-92.6293716,44.9005607
"524",-123.1207375,49.2827291
"525",-120.8958242,38.8375215
"526",-99.9018131,31.9685988
"527",-96.7969879,32.7766642
"528",-122.2566367,38.1040864
